ID,óöóID,ì˙éû,ê¸åaÉ m
23995624495,24705,2021-11-23 06:05:50.687,0.11743
23995624496,24705,2021-11-23 06:05:50.707,0.11829
23995624497,24705,2021-11-23 06:05:50.727,0.11669
23995624498,24705,2021-11-23 06:05:50.747,0.11743
23995624499,24705,2021-11-23 06:05:50.767,0.11558
23995624500,24705,2021-11-23 06:05:50.787,0.11722
23995624501,24705,2021-11-23 06:05:50.807,0.11812
23995624502,24705,2021-11-23 06:05:50.830,0.11912
23995624503,24705,2021-11-23 06:05:50.847,0.11773
23995624504,24705,2021-11-23 06:05:50.867,0.11725
23995624505,24705,2021-11-23 06:05:50.887,0.11882
23995624506,24705,2021-11-23 06:05:50.907,0.11662
23995624507,24705,2021-11-23 06:05:50.927,0.11694
23995624508,24705,2021-11-23 06:05:50.947,0.11787
23995624509,24705,2021-11-23 06:05:50.967,0.11715
23995624510,24705,2021-11-23 06:05:50.987,0.1168
23995624511,24705,2021-11-23 06:05:51.007,0.11773
23995624512,24705,2021-11-23 06:05:51.027,0.11516
23995624513,24705,2021-11-23 06:05:51.047,0.11718
23995624514,24705,2021-11-23 06:05:51.067,0.11784
23995624515,24705,2021-11-23 06:05:51.087,0.11777
23995624516,24705,2021-11-23 06:05:51.107,0.11666
23995624517,24705,2021-11-23 06:05:51.137,0.11746
23995624518,24705,2021-11-23 06:05:51.147,0.11576
23995624519,24705,2021-11-23 06:05:51.167,0.11743
23995624520,24705,2021-11-23 06:05:51.187,0.11968
23995624521,24705,2021-11-23 06:05:51.207,0.11708
23995624522,24705,2021-11-23 06:05:51.227,0.11687
23995624523,24705,2021-11-23 06:05:51.247,0.11725
23995624524,24705,2021-11-23 06:05:51.267,0.11875
23995624525,24705,2021-11-23 06:05:51.287,0.11847
23995624526,24705,2021-11-23 06:05:51.307,0.11509
23995624527,24705,2021-11-23 06:05:51.327,0.1153
23995624528,24705,2021-11-23 06:05:51.347,0.11436
23995624529,24705,2021-11-23 06:05:51.367,0.1185
23995624530,24705,2021-11-23 06:05:51.387,0.11537
23995624531,24705,2021-11-23 06:05:51.407,0.11683
23995624532,24705,2021-11-23 06:05:51.437,0.11787
23995624533,24705,2021-11-23 06:05:51.447,0.11586
23995624534,24705,2021-11-23 06:05:51.467,0.11773
23995624535,24705,2021-11-23 06:05:51.487,0.11583
23995624536,24705,2021-11-23 06:05:51.507,0.11822
23995624537,24705,2021-11-23 06:05:51.527,0.11603
23995624538,24705,2021-11-23 06:05:51.547,0.11624
23995624539,24705,2021-11-23 06:05:51.567,0.11759
23995624540,24705,2021-11-23 06:05:51.590,0.11718
